Category,Question,Image url,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Correct Answer,Correct Letter,Claude-3.5-Sonnet,GPT-4o,Gemini-2.0-Flash
Cardiology and cardiac surgery,"39-year-old male, smoker of 20 cigarettes per day, with a history of an acute myocardial infarction less than 38 years. In catheterization, an injury in the proximal right coronary was observed and a drug addiction was implemented. FEVI was normal. It is in treatment with atorvastatin 80 mg/day, acetylsalicylic acid 100 mg/day and bisoprolol 2.5 mg/day. Make proper diet and exercise and is asymptomatic from the cardiovascular point of view. It provides analytics with lipoprotein (a) 380 nmol/l (normal value up to 125 nmol/l), total cholesterol 238 mg/dl, HDL 45 mg/dl, LDL 132 mg/dl and TG 142 mg/dl. On physical examination, the following finding (see image) is observed. In addition to insisting to stop smoking, which of the following recommendations is more appropriate?:",https://compitoinclasse.org/simulatori/IMGmir/2185-dom.jpg,"To get to the dyslipemia treatment objectives, add ezetimiba",Add a PCSK9 inhibitor and request a genetic test of family hypercholesterolemia,Send the ophthalmologist to rule out a wilson disease,Add niacin to reduce lipoprotein (a),,Add a PCSK9 inhibitor and request a genetic test of family hypercholesterolemia,B,C,C,C
Cardiology and cardiac surgery,"39-year-old woman, a 34 -week pregnant woman with current birth that after placement of epidural catheter for analgesia refers to dizziness, blood pressure is taken 104/57 mmHg and heart rate 45 LPM, so 9 mg of Efedrina I.V. After which, he begins to notice palpitations and oppression at the base of the neck. ECG is performed that is shown (see image), which of the following pathophysiological processes has been able to contribute to the development of the picture this patient presents?",https://compitoinclasse.org/simulatori/IMGmir/7-dom.jpg,Break of a super -occlusive thrombus plate.,Spasm of an epicardial coronary artery.,Myocardial ischemia related to increased myocardial oxygen demand.,Coronary endothelium dysfunction.,,Myocardial ischemia related to increased myocardial oxygen demand.,C,B,B,B
Cardiology and cardiac surgery,"The patient with ECG 1st, receives a drug. The post -treatment electrocardiographic sequence (2nd and 3rd) is shown. What is the administered drug?",https://compitoinclasse.org/simulatori/IMGmir/1179-dom.jpg,Verapamil,Athenolol,Adenosine,Digoxin,,Adenosine,C,D,D,D
Cardiology and cardiac surgery,"A 55-year-old patient is asked for a map (outpatient monitoring of blood pressure), for presenting in consultation blood pressure values ​​in the normal-high category, to rule out masked arterial hypertension. The study result is observed in the image. The averages of blood pressure were: average of 24 hours 121/73 mmHg, average in the diurnal period 124/75 mmhg, average in the 111/65 mmhg night period. The night systolic blood pressure decreased by 10.4 % of the average of the daytime values ​​and the nighttime diastolic blood pressure descended 13.9 % of the average of the daytime values. Of the following options, which one corresponds best to the map made?:",https://compitoinclasse.org/simulatori/IMGmir/1628-dom.jpg,NORMOTENSION AND PATTERN DIPPER.,NORMOTENSION AND NON DIPPER PATTERN.,Dipper hypertension and pattern.,Hypertension and non -dipper pattern.,,NORMOTENSION AND PATTERN DIPPER.,A,C,D,C
Cardiology and cardiac surgery,"An 82-year-old man, with a history of dilated cardiomyopathy, goes to urgencies by recurring syncopes in the last week. An electrocardiogram is performed that shows:",https://compitoinclasse.org/simulatori/IMGmir/1149-dom.jpg,Right branch block with posterior hemibloqueo.,Right branch block with anterior hemibloqueo.,Full left branch block.,Right branch block.,,Right branch block with anterior hemibloqueo.,B,D,D,D
Cardiology and cardiac surgery,"In this patient, the procedure and/or treatment of choice that I would recommend is:",https://compitoinclasse.org/simulatori/IMGmir/471-dom.jpg,Urgent catheterization.,Primary angioplasty.,Fibrinolysis.,Prednisone 10 mg/12 hours.,Anti -inflammatories in prolonged treatment.,Anti -inflammatories in prolonged treatment.,E,E,A,A
Cardiology and cardiac surgery,"40-year-old man with arterial hypertension, in treatment with enalapril, amlodipine and hydrochlorotiazide at full doses. In consultation it has blood pressure figures above 150/100 mmHg and the result of the ambulatory monitoring of the 24 -hour blood pressure (map) is shown in the image. The shaded strip on the right indicates the sleep period. He claims to fulfill the treatment, exercise daily and eat with little salt. It does not take medications that can raise blood pressure. What is the most correct attitude at this time?",https://compitoinclasse.org/simulatori/IMGmir/1150-dom.jpg,Maintain your current treatment without changes and repeat the map in 6 months.,"Associate an antialdosteronic, suspend hydrochlorotiazide and review in consultation in 6 months.",Associate Olmesartan and repeat the map in 6 months.,Pose study to rule out causes of secondary hypertension and associate a fourth drug.,,Pose study to rule out causes of secondary hypertension and associate a fourth drug.,D,D,D,D
Cardiology and cardiac surgery,"A 26-year-old, without pathological history of interest, goes to the emergency department for palpitations of just over an hour. It is aware and blood pressure is 95/60 mm Hg. The electrocardiographic path is shown in the image. Which of the following do you think the most likely diagnosis?",https://compitoinclasse.org/simulatori/IMGmir/239-dom.jpg,Supraventricular paroxysmal tachycardia by intranodal reentry.,Atrial fibrillation in a patient with Wolf-Parkinson-White syndrome.,Ventricular tachycardia.,Ventricular fibrillation.,,Atrial fibrillation in a patient with Wolf-Parkinson-White syndrome.,B,B,B,B
Thoracic pneumology and surgery,Indicate what location is the injury:,https://compitoinclasse.org/simulatori/IMGmir/1380-dom.jpg,Main right bronchio.,Middle Lobar Bronchio.,Left main bronchio.,Intermediary bronchio.,,Intermediary bronchio.,D,D,D,D
Thoracic pneumology and surgery,"64-year-old woman, without a history of interest, with progressive dyspnea of ​​several weeks of evolution, whose thorax frontal radiography suggests a practically definitive radiological diagnosis. What would this be?:",https://compitoinclasse.org/simulatori/IMGmir/696-dom.jpg,Pulmonary thromboembolism with heart attacks.,Pneumonó by pneumocystis jiroveci.,Alveolar proteinosis.,Pulmonary edema.,Pneumonó eosinó crínica.,Pneumonó eosinó crínica.,E,B,E,B
Thoracic pneumology and surgery,"Within the preoperative protocol of a Morton neuroma in a 45-year-old patient, a 20 daily cigarette smoker until three years ago, currently asymptomatic, the thorax radiographs that are shown in image No. 4 are included. What is the radiological finding fundamental in this case?:",https://compitoinclasse.org/simulatori/IMGmir/925-dom.jpg,A pulmonary consolidation in the upper right line.,"A central bronchopulmonary tumor, with adenopathy.",A cisural encapsulated pleural spill.,An anterior mediastical mass.,A mucous impact of central bronchiectasis.,"A central bronchopulmonary tumor, with adenopathy.",B,C,B,C
Thoracic pneumology and surgery,"58-year-old woman with a picture of months of coughing, odinophage and carraspeo, which consults for presenting hemptoic sputum. It does not refer to fever or dyspnea. Exfuster more than 30 years ago (he smoked for 10 years 1 paq/day). The analytics is normal. The radiography of poster-prior thorax is shown. What finding is?:",https://compitoinclasse.org/simulatori/IMGmir/2204-dom.jpg,Atelectasis of lower left libulus,Left subpulmonary pleural spill,Bochdalek hernia or left posterior diaphragmal defect,Right pulmonary hyperinsocation by bronchiectasis and basal mucous impacts,,Atelectasis of lower left libulus,A,A,A,A
Thoracic pneumology and surgery,"70-year-old man, active smoker, to which a radiological study of thorax is carried out as a preoperative protocol for prostatic hypertrophy. What would be the fundamental semiological finding of this radiological image ?:",https://compitoinclasse.org/simulatori/IMGmir/698-dom.jpg,Encapsulated left pleural spill.,Tumor of the previous soft tesons of the tórax.,Collapse of the left upper line.,Anterior mediastinal mass.,Elevation of the Left Diaphragm Power.,Collapse of the left upper line.,C,D,C,D
Thoracic pneumology and surgery,"42-year-old woman who goes to the emergency room for increased dyspnea in recent weeks accompanying slight sharp chest pain that increases with respiratory movements. He has not presented fever or coughing. To pulmonary auscultation, decrease in vesicular murmur on the right base is objective. The following radiography of the thorax that demonstrates the existence of:",https://compitoinclasse.org/simulatori/IMGmir/255-dom.jpg,Bronchogose tumor.,Bochdalek hernia.,Pulmonary abscess,Pneumopericardio.,,Bochdalek hernia.,B,B,B,C
Thoracic pneumology and surgery,"65-year-old man, exfuster, without cardiorespiratory history of interest, who goes to consultation for a progressive table of general discomfort, episodes of cough and fever of a week of evolution. Among the tests requesting your doctor is a chest radiography. In relation to the findings of said radiography, indicate the correct option:",https://compitoinclasse.org/simulatori/IMGmir/1401-dom.jpg,"There is a mediastical widening that extends to the upper region of the right hemithrax, so the main suspicion is that it is a lymphoma.",An alveolar consolidation is observed in the upper right libulus. The most likely diagnosis is a pneumon.,The radiological image corresponds to an extrapulmonary lesion,It can be a pleural mass or a mass of the tornic wall.,The patient has an atelectasis of the right upper line; The first diagnostic suspicion is a bronchogystical carcinoma.,The patient has an atelectasis of the right upper line; The first diagnostic suspicion is a bronchogystical carcinoma.,E,E,E,E
Thoracic pneumology and surgery,"A 38-year-old bank employee to which the periodic company review has been referred to us to assess the chest radiography. The patient smokes 20 cigarettes/day since the age of 21. He says that during the last months, it is somewhat more tired than usual. Basic laboratory analysis are normal except for an HB of 11.4 g/dl. A electrocardiogram and forced spirometry are normal. What do you think is the most plausible diagnostic orientation?",https://compitoinclasse.org/simulatori/IMGmir/1169-dom.jpg,Hodgkin's disease.,Fibic infection type histoplasmosis.,Sarcoidosis,Broncogy -nicing carcinoma.,,Sarcoidosis,C,D,C,D
Thoracic pneumology and surgery,"90-year-old woman with a history of Alzheimer's disease in the Terminal Stadium (Global Deterioration Scale 7), dependence for all basic activities of daily life and occasional dysphagia to liquids. He goes to the emergency department for presenting in the last hours of the hearing, tachypnea, rhythmic tachycardia and axillary temperature of 37.3 ° C. Physical examination is difficult and does not provide more remarkable data. Before the thorax radiography shown, what is the most likely diagnosis?:",https://compitoinclasse.org/simulatori/IMGmir/1630-dom.jpg,Pulmonary thromboembolism.,Acute lung edema.,Acute interstitial pneumon.,Acute broncoalveolar pneumon.,,Acute broncoalveolar pneumon.,D,B,B,B
Thoracic pneumology and surgery,"64-year-old woman who consults for central centers 24 hours of evolution without other clinical manifestations. On the chest radiography, what finding is ?:",https://compitoinclasse.org/simulatori/IMGmir/1985-dom.jpg,Aortic aneurysm,Acute pericarditis,Pneumon,Hiatal hernia,,Hiatal hernia,D,B,B,B
Thoracic pneumology and surgery,"In the previous patient, which of the following attitudes would be less justified?",https://compitoinclasse.org/simulatori/IMGmir/477-dom.jpg,Make a tornic tac.,Request syllectical levels of ALFA-1-antitripsin.,Ask for a 6 -minute march proof.,Request cutaneous allergy tests.,Start treatment with bronchodilators.,Request cutaneous allergy tests.,D,B,B,B
Thoracic pneumology and surgery,"40-year-old man, smoker, with a history of left spontaneous pneumotorax. Consultation for non -productive cough and dyspnea of ​​medium effort of progressive establishment for 5 months. Pulmonary auscultation reveals some diffuse crepiting rales. Radiological findings are shown in Image No. 6. What is the first diagnostic option?",https://compitoinclasse.org/simulatori/IMGmir/929-dom.jpg,Lymphangioleiomiomatosis,Pulmonary emphysema,Silicosis,Idiophytic pulmonary fibrosis,Histiocytosis x,Histiocytosis x,E,E,E,E
Thoracic pneumology and surgery,"45-year-old woman, 20 CIG/day smoker. He goes to the emergency room for clinical picture of 10 days of evolution of mucopurulent cough, pain in right hemithorax, asthenia and nocturnal sweating. Pulmonary auscultation with vesicular murmur decreased at the level of the upper third of the right lung with abundant roncus by both fields. ANALYTICS: HB 10 g/dl, platelets 629,000/μl and 16,000/μl leukocytes with 83%neutrophils. A thorax RX is performed. What is the most correct attitude?",https://compitoinclasse.org/simulatori/IMGmir/1164-dom.jpg,Transtoraal punction guided by TC.,Broncoscopy with broncoalveolar washing.,EMPIAL ANTIBIOTHERAPY WITH ANAEROBIE COVERAGE.,Percutaneous drainage.,,EMPIAL ANTIBIOTHERAPY WITH ANAEROBIE COVERAGE.,C,A,A,A
Thoracic pneumology and surgery,"37-year-old man not smoker and without medical history of interest that presents a picture of more than three weeks of evolution of persistent dry, fever and erratic articular pains. Among the tests requesting your doctor is a chest radiography. Which of the following diagnoses suspect in the first place?:",https://compitoinclasse.org/simulatori/IMGmir/1619-dom.jpg,Tuberculosis.,Rheumatoid arthritis.,Pulmonary arterial hypertension secondary to left heart failure.,Sarcoidosis,,Sarcoidosis,D,A,A,A
Thoracic pneumology and surgery,Which of the following spirometric profiles will more fit the patient's clinical picture?,https://compitoinclasse.org/simulatori/IMGmir/930-dom.jpg,FEV1/FVC relationship 85%: FEV1 86%; FVC 65%.,FEV1/FVC relation 57%; FEV1 51%; FVC 85%.,FEV1/FVC 77%relationship; FEV1 85%; FVC 82%.,FEV1/FVC 79%relationship; FEV1 105%; 98%FVC.,FEV1/FVC RELATIONSHIP 60%; FEV1 81%; FVC 120%.,FEV1/FVC relationship 85%: FEV1 86%; FVC 65%.,A,A,A,A
Thoracic pneumology and surgery,"47-year-old man who has been presenting for 48 hours Fever and chest pain of pleuritic characteristics in left hemithorax, despite being receiving treatment for 15 days with amoxicillin/clavulanic due to sinusitis of torpid evolution. In the exploration the temperature is 37.8 ° C, the blood pressure 180/100 mmHg, highlights the prostrate aspect of the patient. In cardiorespiratory and abdominal exploration, only audible crepitants in left hemithorax stand out. Normal neurological exploration. In the analytics, hemoglobin 10.5 g/dl and VCM 89 fl, 12,000 leukocytes/mm3 with discreet neutrophilia and platelets of 450,000/mm3. Creatinine is 1.7 mg/dl. A urinary reactive strip shows 5-10 leukocytes, 5-10 red blood cells and proteins +. The radiography of posteroantic thorax is shown. Indicate which of the following analytical determinations would request to confirm the diagnosis:",https://compitoinclasse.org/simulatori/IMGmir/1629-dom.jpg,Anti-Proteinase antibodies 3.,Angiotensin converter enzyme.,Galactomanano.,Glomerular basal anti-mimbic antibodies.,,Anti-Proteinase antibodies 3.,A,A,A,A
Thoracic pneumology and surgery,"68-year-old man without toxic habits, with atrial fibrillation in anticoagulant treatment. It has left chest dyspnea and pain performing complementary tests (image 1 and 2). At the 4 years of histopathological diagnosis and treatment, control radiography is performed (image 3). Indicate which of the following entities is most likely:",https://compitoinclasse.org/simulatori/IMGmir/1402-dom.jpg,Crínica passive atelectasia.,Pulmonary metaltasis of unknown origin.,Hemotóx spontaneous late.,Pleural Mesothelioma.,,Pleural Mesothelioma.,D,D,D,D
Thoracic pneumology and surgery,"60-year-old male, active smoker, who presents cough and daily expectoration of years of evolution, occasionally hemptoic. In recent months progressive dyspnea is added. It presents acropaquia and in the pulmonary auscultation highlights Roncus and teleinspiratory sibilants in the left lung. High -resolution pulmonary TC is shown in the attached image. What is the most likely diagnosis?:",https://compitoinclasse.org/simulatori/IMGmir/2186-dom.jpg,Quismal carcinoma,Pulmonary emphysema,Cavited tuberculosis,Bronchiectasis,,Bronchiectasis,D,D,D,D
Thoracic pneumology and surgery,"61-year-old man consults for progressive fatigue, feeling of abdominal fullness, muscle weakness and loss of about 8 kg of weight in the last year. It is originally from Pakistan, with idiomatic barrier that hinders interrogation. He is an active smoker, he refers frequent catarrhal paintings, without other antecedents of interest. The physical examination stands out for its thinness and a sclerotic ichteric dye. It presents jugular ingurgitation that seems to increase in inspiration, hepatomegaly 3 cm below the right costal flange, moveable matidity in flanks and slight bimaleolar edema. The lateral thorax radiography is the one that shows the image. Regardless of whether an in -depth study of the various problems detected in history and exploration must be carried out, which of the following is the most useful test to be carried out below?",https://compitoinclasse.org/simulatori/IMGmir/1387-dom.jpg,Abdominal ultrasound.,Respiratory functionalism tests.,Hepatitis B and C. Serology,TC of Tórax.,,TC of Tórax.,D,D,D,D
Thoracic pneumology and surgery,The image corresponds to 5 minutes of study of a respiratory polygraphy in a 62-year-old male. What kind of respiratory event is seen in it?:,https://compitoinclasse.org/simulatori/IMGmir/1997-dom.jpg,Obstructive apnea,Respiratory effort associated with microdespertar,Central apnea,Hypopnea,,Hypopnea,D,C,C,C
Thoracic pneumology and surgery,74-year-old patient who consults for muscle weakness. It provides a TC made in another center. Which of the following determinations would support our most likely diagnostic suspicion?,https://compitoinclasse.org/simulatori/IMGmir/26-dom.jpg,Antibodies against acetylcholine receiver.,Antibodies in front of calcium channels.,Antisintetase antibodies.,TSH and antithyroid antibodies.,,Antibodies against acetylcholine receiver.,A,A,A,A
Thoracic pneumology and surgery,"61-year-old man, who received a haploidal alogenic transplant 20 months ago by Non Hodgkin T lymphoma, in full response, which consults for a feverish syndrome for 72 hours with coughing and whitish expectoration and progressive dyspnea to moderate efforts. Astenia refers for a month and a half. The thoracic TC shown in the image is performed. Which of the following is the most likely diagnosis?:",https://compitoinclasse.org/simulatori/IMGmir/2399-dom.jpg,Pneumon. By mycobacterium tuberculosis.,Pneumonó by Aspergillus.,Pneumon by Streptococcus pneumoniae.,Pneumonó by pneumocystis jirovecii.,,Pneumonó by pneumocystis jirovecii.,D,D,D,D
Thoracic pneumology and surgery,58-year-old man without clinical or surgical history of interest except smoker with progressive dyspnea history. He goes to the emergency room due to increased dyspnea. The thorax radiography practiced is shown in the image. Point out what semiological group should be framed:,https://compitoinclasse.org/simulatori/IMGmir/23-dom.jpg,Soft tissue tumor of the tornic wall.,Alveolar consolidation.,Atelectasis,Pleural spill.,,Atelectasis,C,C,C,C
Thoracic pneumology and surgery,Which of the following options responds best to the radiological pattern of the image?,https://compitoinclasse.org/simulatori/IMGmir/252-dom.jpg,PATTERN IN PANAL.,Destructive patron.,MILIAR PATTERN.,Microqual pattern.,,MILIAR PATTERN.,C,C,C,C
Thoracic pneumology and surgery,"74-year-old male who consults for pain in hemithorax right of pleuritic characteristics of 1 week of evolution, dyspnea of ​​moderate efforts, productive cough and fever, without general syndrome. In the analytics, PCR 92.9 mg/L and Démero D 1.630 ng/ml (normal <500) stands out. The radiography of poster-prior thorax is shown. What is the diagnosis of suspicion and the attitude to follow?:",https://compitoinclasse.org/simulatori/IMGmir/1986-dom.jpg,Request Angiotc of pulmonary arteries for suspected pulmonary thromboembolism,Start anti-triastic treatment due to suspicion of pneumonva without signs of complication and radiological control in 4-6 weeks,Derived to the specialized consultation for radiological suspicion of lung carcinoma,Request radiograph in right lateral decys for suspicion of encapsulated pleural spill prior to thoracentesis,,Request Angiotc of pulmonary arteries for suspected pulmonary thromboembolism,A,C,C,C
Thoracic pneumology and surgery,"In a recent hemogram, the only remarkable data is an eosinophilia of 16%. What diagnostic test of the following would provide more information in the patient's study?",https://compitoinclasse.org/simulatori/IMGmir/475-dom.jpg,Echocardiogram.,Total and P-Ancas determination.,Bronchofibroscopy.,Computed tomography.,Metacoline and maximum expiratory flow test (Peak Flow).,Computed tomography.,D,D,D,D
Pediatrics,"25 -day infant that has lesions on the face for 2 days that are accentuated. In the exploration, erythematous macules are observed converge, desquator, with yellowish serous secretion, located on both cheeks, Nasogenian groove, ears and retroauricular region, front and chin. Rest of the normal exploration. What diagnosis is more likely?:",https://compitoinclasse.org/simulatori/IMGmir/1614-dom.jpg,Toxoallergic erythema of the newborn.,Atopic dermatitis.,Seborrheic dermatitis.,Neonatal Imagigo.,,Seborrheic dermatitis.,C,C,C,C
Pediatrics,3-year-old girl who presents a painful front tumor to palpation without traumatic history or other associated clinical or radiological manifestations. What diagnosis is most likely in the image shown?:,https://compitoinclasse.org/simulatori/IMGmir/1803-dom.jpg,Langerhans cell histiocytosis,Rabdomiosarcoma,Lymphoma,Dermoid cyst,,Langerhans cell histiocytosis,A,E,E,E
Pediatrics,"33-year-old woman, cleaning worker in a children's play library and with a history of frequent episodes of pultaceous tonsillitis. 48 hours before the consultation starts a fever box of up to 38 ° C with odinophagy. For this reason it is self -medicated with amoxicillinaclavulanic. At 12 o'clock appears a generalized pruriginous rash, which is why he consults his family doctor who changes the antibiotic to azithromycin and adds corticosteroids to the treatment of suspected drug addicts. 24 hours later the fever persists, a certain dissenic and coughing is added, which is why he consults the hospital emergency department. Physical examination shows a patient with 39 ° C fever, with a general state affected, exanthema in face, trunk and back, pruriginous, confluent, with papular, habonesas, disseminated injuries that affect palms and plants. The exploration of the oral cavity does not show pultaceous plaques tonsils, but erythematous lesions with whitish center in front of both upper dental arches (Image No. 11). What would be the best way to define these injuries taking into account the patient's context:",https://compitoinclasse.org/simulatori/IMGmir/939-dom.jpg,MUGUET,Koplik stains,AFTAS,Lichen,Leukoplasia,Koplik stains,B,D,D,D
Pediatrics,"23-month-old boy who enters rectorragia of repetition and anemization (hemoglobin 10.0 g/dl, hematocrit 27.9 %. Abdominal ultrasound study is carried out without findings. The gammography with pertecnetate-99MTC is shown in the image. The following, the most likely diagnosis is:",https://compitoinclasse.org/simulatori/IMGmir/1979-dom.jpg,Gastric bleeding point,Meckel diverticulum coated with ectopic gastric mucosa,Bleeding point of genitourinary origin,Normal gammography,,Meckel diverticulum coated with ectopic gastric mucosa,B,A,A,A
Nephrology and urology,"71-year-old man who consults for a 3 weeks of evolution, who has not yielded despite antibiotic treatment for 7 days. In the urine strip you can see microhematuria. It provides a HB hemogram of 10.1 g/dl, VCM of 91.6 fl. First they do an abdominal ultrasound, but the radiologist raises doubts and decides to perform a TC. Point out the answer that seems correct:",https://compitoinclasse.org/simulatori/IMGmir/1163-dom.jpg,The image is compatible with renal tuberculosis.,3 more weeks should have been expected with antibiotic treatment before doing an image test.,There is a renal excrete lesion that suggests a hypernephroma.,There is an indication of placement of a left double J catheter.,,There is a renal excrete lesion that suggests a hypernephroma.,C,C,C,C
Nephrology and urology,"68-year-old man who consults for asthenia. Bone pains refers as the only accompanying symptomatology. Its renal function was normal 6 months before. General analytics is performed that shows: creatinine 2.0 mg/dl, urea 86 mg/dl, plasma proteins 90 g/l, vsg 120 mm/h, albumin ratio/urinary creatinine 4 (normal), protein ratio/urinary creatinine 80 (N <22). The image of the urine sediment and the urine reactive strip is attached. What suspects the patient can have and what test would he do first?",https://compitoinclasse.org/simulatori/IMGmir/1159-dom.jpg,An amyloidosis and would make a biopsy of subcutaneous fat.,A multiple myeloma and would ask for a proteinogram and protein from Bence Jones in urine.,A glomerular disease and requested an urgent renal biopsy.,An acute tubular necrosis and requested renal ultrasound.,,A multiple myeloma and would ask for a proteinogram and protein from Bence Jones in urine.,B,C,C,C
Nephrology and urology,"32-year-old woman with a history of epilepsy from childhood, mental retardation, facial angiofibromas and hypomelanic spots. For an abdominal pain picture an abdominal computerized tomography is performed where renal lesions are appreciated. What kind of injury is and what disease does it suffer?",https://compitoinclasse.org/simulatori/IMGmir/1624-dom.jpg,Renal cyst / autosomal dominant renal polycytosis.,Renal Clear Cell Carcinoma / Von Hippel Lindau disease.,Renal angiomiolipoma / tuberous sclerosis.,Neurofibroma / neurofibromatosis.,,Renal angiomiolipoma / tuberous sclerosis.,C,C,C,C
Nephrology and urology,"The ultrasound image that is presented corresponds to a 37-year-old woman who consulted for non -traumatic right -lumbed pain associated with fever. Based on those background and ultrasound findings, indicate the correct answer:",https://compitoinclasse.org/simulatori/IMGmir/712-dom.jpg,An increased biliary gallbladder with double wall sign is observed.,The findings suggest perinephritic abscess with perirrenal free liquid.,The image does not provide enough data that helps the diagnosis.,The image suggests a large paragraph cyst: it is an unimportant finding.,The ultrasound suggests obstruction of the urinary route.,The ultrasound suggests obstruction of the urinary route.,E,B,B,B
Nephrology and urology,"Patient who refers to repetitioned pains, with irradiation to inguinal zone and left hip. The findings on the radiography shown suggest the diagnosis of:",https://compitoinclasse.org/simulatori/IMGmir/251-dom.jpg,Hernia Discal Pathology.,Spondylodiscitisis.,"Retroperitoneal mass, probably liposarcoma.",Xantharanulomatous pyelonephritis (by lithian obstruction).,,Xantharanulomatous pyelonephritis (by lithian obstruction).,D,D,D,D
Nephrology and urology,"The urine of a patient under study for renal failure is received in the laboratory. An analysis is performed by reactive strip, which is shown in the image. What is your diagnosis?",https://compitoinclasse.org/simulatori/IMGmir/19-dom.jpg,Nephrotic syndrome due to minimal lesions.,Nephritic syndrome.,Chronic interstitial nephropathy.,Prerenal renal failure.,,Nephritic syndrome.,B,B,B,B
Nephrology and urology,"9 -month -old boy with a history of three episodes of urinary tract infection (at 14 days of life, 1 month and 2 months) and in prophylactic antibiotic treatment. The diagnostic studies carried out show bilateral vesicoureteral reflux (grade V and II left law) and decrease in the size of the right kidney with slight skinocalical dilation (II/V) in the ultrasound. With these data and the renal gammographic image shown, the most likely diagnosis is:",https://compitoinclasse.org/simulatori/IMGmir/1611-dom.jpg,Postpielonephritis right scar nephropathy.,Right pyeloureteral union stenosis.,Right acute piss.,Multichistic dysplasia of the right kidney.,,Postpielonephritis right scar nephropathy.,A,A,A,A
Endocrine and endocrine surgery,"A 64-year-old patient consults for easy fatigue of a few months of evolution and loss of appetite, although he has not objectified weight loss. It catches our attention, when observing it, the facies it presents (see image). Before continuing with the interrogation and clinical exploration, we can think of a diagnostic hypothesis. Which of the following analytical tests do you think would better guide us in our diagnostic suspicion ?:",https://compitoinclasse.org/simulatori/IMGmir/708-dom.jpg,TSH,CK,"Hemogram, iron, ferritin",Proteinuria,ANN,TSH,A,A,A,A
Endocrine and endocrine surgery,"83-year-old male in whom an increase in thyroid size is detected by making a TC for extension study of bladder cancer. In the diagnostic study, it highlights: TSH <0.005 µui/ml (VN 0.4 - 4.5), free T4 3.49 ng/dl (0.70 - 1.90), free T3 9.56 pg/ml ( 2,27 - 5.06), anti -receptor antibodies TSH <0.8 IU/L (0 - 1.75), antibodies Antiperoxidase 8 IU/ML (5 - 34). Ultrasound: Increased thyroid gland, parenchyma occupied by multiple preferably solid nodules. The associated image corresponds to a thyroid scintigraphy. With these morphological and functional results the most likely diagnosis is:",https://compitoinclasse.org/simulatori/IMGmir/1801-dom.jpg,Graves-Basedow disease,Follicular thyroid cancer,Toxic multinodular goiter,Autoimmune thyroiditis,,Toxic multinodular goiter,C,B,B,B
Endocrine and endocrine surgery,"34-year-old woman with new appearance hypothyroidism in her family medicine consultation, without other alterations or medical history of interest. The patient is derived to perform an ultrasound of the thyroid gland in the broadcasting service of their reference hospital to rule out cancer (image). Has it been correct to carry out this ultrasound?",https://compitoinclasse.org/simulatori/IMGmir/1396-dom.jpg,No. The realization of this ultrasound is incorrect. We would have to perform a thyroid scammography.,No. It is incorrect the realization of this ultrasound because hypothyroidism is not indication of image study of the thyroid gland.,Yes. The realization of this ultrasound is correct because it is a young patient with thyroid pathology.,Yes. The realization of this ultrasound is correct because hypothyroidism is indication of image study of the thyroid gland.,,No. It is incorrect the realization of this ultrasound because hypothyroidism is not indication of image study of the thyroid gland.,B,D,D,A
Endocrine and endocrine surgery,To rule out situations that can simulate the patient's manifestations and establish a differential diagnosis we must continue with the interrogation. One of the following habits or background would be hardly related to the facial alterations observed. Point out which.,https://compitoinclasse.org/simulatori/IMGmir/709-dom.jpg,Habit of stretching hairs (trichotilomania).,A sexually transmitted disease.,Contact with people or geographical areas with leprosy.,Drug intake.,Background of hyperuricemia.,Background of hyperuricemia.,E,B,B,B
Endocrine and endocrine surgery,"42-year-old woman who goes to emergency due to abdominal pain and fever. A TC is made that does not provide data on the possible cause of pain, however, given the objectified findings in the image, it is referred to the consultation. Which of the following explorations do you consider to complete the study?",https://compitoinclasse.org/simulatori/IMGmir/1155-dom.jpg,Gammagraph with meta-iodobenzechanidine.,Determination of 5 hydroxyindolacetic in urine of 24h.,Fine needle aspiration puncture with ultrasound control.,Magnetic resonance.,,Magnetic resonance.,D,D,D,D
Endocrine and endocrine surgery,"Patient with goiter. The image shows its thyroid ultrasound in gray scale and doppler color. Given these findings, indicate the correct answer:",https://compitoinclasse.org/simulatori/IMGmir/15-dom.jpg,"The image shows an augmented and slightly hypoecogenic gland, with multiple nodules, of heterogeneous and hypervascularized ecotexture. Multinodular goiter suggestive","The image shows an augmented gland of size, normal ecogenicity, homogeneous ecotexture, without nodules. Vascularization is prominent, normal finding in parenchymal.","The image shows an augmented and slightly hypoecogenic gland, without nods, of heterogeneous and hypervascularized ecotexture. The findings are suggestive of serious disease but there are subacute thyroiditis that can show similar findings.","The image shows a somewhat augmented gland, normal ecogenicity and heterogeneous ecotexture. The increase in diffuse vascularization forces to perform a guided puncture with ultrasound (PAAF) to rule out a thyroid neoplasia.",,"The image shows an augmented and slightly hypoecogenic gland, without nods, of heterogeneous and hypervascularized ecotexture. The findings are suggestive of serious disease but there are subacute thyroiditis that can show similar findings.",C,C,C,C
